Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[1307],OCEAN ISLAND,COMOROS / ANJOUAN (NZWANI) / DIFFERENTIATED STAGE / INDIAN OCEAN,,-12.17,-12.17,44.41,44.41,SUBAERIAL,,,s AJ-19 [1307],BASANITE [1307],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1307] ,,,,,,,,69723.81,,43298.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,63,63,98,,,,,,46,615,30,182,,,,,,,,,,,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15365
[1307],OCEAN ISLAND,COMOROS / ANJOUAN (NZWANI) / DIFFERENTIATED STAGE / INDIAN OCEAN,,-12.17,-12.17,44.41,44.41,SUBAERIAL,,,s AJ-97 [1307],BASANITE [1307],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1307] ,,,,,,,,68791.05,,35519.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,55,,88,,,,,,55,783,33,190,,,,,,,,,,,,,,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15369
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN4 [1240],BASANITE [1240],4800000 [1240],4800000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,208055.3185,23793.798,,66050.5248,,,,106645.56,78188.18,49208.064,1394.0244,,9878.785,20697.8103,3927.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,311,396,,,,229,52,123,,,,,,41.2,924,34,474,63,,,,,,,,,,,,,725,61,136,,85.11,17.03,,,,,,,,,,,,,,,,,,,,4.41,,6,2.07,0.512858,,,0.70364,,18.98,,15.585,,38.92,,,,,,,,,,,,,,,15559
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN12 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,202913.5335,18399.738,,60122.9136,,,,109987.95,72041.76,77490.64,1394.0244,,10791.95,15578.997,3927.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,265,514,,,,406,38,142,,,,,,21.4,833,32,305,65,,,,,,,,,,,,,571,50,107,,51.42,10.93,,,,,,,,,,,,,,,,,,,,3.35,,6,1.57,0.512936,,,0.70334,,18.983,,15.61,,38.87,,,,,,,,,,,,,,,15565
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN17 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,201744.946,18339.804,,66103.4499,,,,111464.82,78474.06,55841.504,1548.916,,7969.44,20475.2532,4800.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,300,376,,,,267,56,136,,,,,,36.7,963,35,322,68,,,,,,,,,,,,,648,61,125,,70.42,14.66,,,,,,,,,,,,,,,,,,,,3.74,,7,1.67,0.512922,,,0.7034,,18.971,,15.616,,38.95,,,,,,,,,,,,,,,15568
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN18 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,200997.05,18339.804,,65944.6746,,,,112397.58,79831.99,56625.456,1548.916,,5229.945,21588.0387,4582.4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,307,379,,,,252,52,137,,,,,,48.7,931,36,311,65,,,,,,,,,,,,,618,62,122,,33.76,7.21,,,,,,,,,,,,,,,,,,,,3.72,,7,1.62,0.512931,,,0.70336,,18.895,,15.618,,38.89,,,,,,,,,,,,,,,15569
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN19 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,202913.5335,16421.916,,65044.9479,,,,107111.94,75257.91,65248.928,1548.916,,9712.755,22255.71,4145.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,251,345,,,,245,49,142,,,,,,47.6,944,37,312,67,,,,,,,,,,,,,640,67,136,,68.69,14.14,,,,,,,,,,,,,,,,,,,,3.64,,9,1.8,0.512913,,,0.70337,,18.89,,15.629,,38.93,,,,,,,,,,,,,,,15570
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN20 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,203661.4295,17620.596,,65680.0491,,,,109443.84,76187.02,64103.152,1781.2534,,10791.95,20401.0675,4407.8521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,275,348,,,,269,60,134,,,,,,29.5,855,35,313,68,,,,,,,,,,,,,665,58,119,,74.3,15.58,,,,,,,,,,,,,,,,,,,,3.72,,7,1.34,0.512922,,,0.7034,,18.909,,15.629,,38.96,,,,,,,,,,,,,,,15571
[815][15598],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / MAROTIRI / PACIFIC OCEAN,,-28.33,-28.33,-143.54,-143.54,SUBAERIAL,,,s MRT-2036996 [815] / s MRT203 [15598],BASANITE [815] / BASALT [15598],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [815] ,193751.8075,18339.804,,53454.351,,,,88301.28,88622.8,77912.768,1394.0244,,6226.125,16765.9682,5455.2625,,,,,,,,,,,,,,,,23100,,,,,,,,,,,,,,9,,,,,,,,,,,,,30,,251,825,,,99,356,76,117,,,,,,5,545,19,191,42,,,,,,,,,,,,,242,27.2,61.3,,30.5,6.22,1.97,,0.83,,,,,1.28,0.19,4.4,,,,,,,,,,,,3.2,,0.512819,,,,,,,,,,,,,,,,,0.28289,,,,,,,1565-MRT203
[1191][15598],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / ATIU / PACIFIC OCEAN,,-19.98,-19.98,-158.1,-158.1,SUBAERIAL,,,s ATU113 [1191],BASANITE [1191],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1191] ,212589.438,18579.54,,82457.3058,,79731.6,,,78259.65,31177.168,1394.0244,,12701.295,24629.6524,2749.4523,,,,,,,,,,,,,,,,26000,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,766,30,293,61,,,,,,,,,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512779,,,,,,,,,,,,,,,,,0.282921,,,,,,,1568-ATU113
[1191][15598],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / ATIU / PACIFIC OCEAN,,-19.98,-19.98,-158.1,-158.1,SUBAERIAL,,,s ATU115 [1191],BASANITE [1191],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1191] ,211280.62,18999.078,,79811.0508,,87984.52,,,76472.9,31840.512,1394.0244,,12452.25,24481.281,2618.526,,,,,,,,,,,,,,,,15700,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,705,31.4,299,64,,,,,,,,,,,,,430,51.7,105.9,,48.9,9.46,2.8,,1.28,,,,,2.46,0.36,5.8,4.08,,,,,,,,,,,6.4,1.67,0.512776,,,,,,,,,,,,,,,,,0.282907,,,,,,,1568-ATU115
[1191][15598],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / ATIU / PACIFIC OCEAN,,-19.98,-19.98,-158.1,-158.1,SUBAERIAL,,,s ATU132 [1191],BASANITE [1191],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1191] ,210205.5195,17320.926,,76741.395,,86166.08,,,80046.4,36785.44,1394.0244,,11124.01,23739.424,2443.9576,,,,,,,,,,,,,,,,18800,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,704,28,289,57,,,,,,,,,,,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512769,,,,,,,,,,,,,,,,,0.28293,,,,,,,1568-ATU132
[1197][1194],OCEAN ISLAND,CAMEROON LINE / SAO TOME / ATLANTIC OCEAN,,0.42,0.42,6.58,6.58,SUBAERIAL,,,s ST109 [1197],BASANITE [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,54876.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,824,28,282,60,,,,,,,,,,,,,452,49,98,,44,,,,,,,,,,,,,,,,,,,,,,,,,0.512998,,,0.70299,,19.954,,15.676,,39.57,,,,,,,,,,,,,,,1572-ST109
[6670],INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN,PORT CHALMERS,-45.6,-45.8,170.5,170.8,SUBAERIAL,,,s PCB54 [6670],BASANITE [6670],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6670] ,211935.029,17560.662,,79758.1257,,33990.84,55965.6,,71827.35,30875.648,1471.4702,,13531.445,26632.6663,2531.2418,,24500,6700,,6500,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,260,158,,,,71,64,105,26,,,,,48,793,30,232,73.8,,,,,,,,,,,,1.67,458,45.1,88,9.6,43.5,8.7,1.91,7.55,1.11,5.78,1.03,2.39,0.33,2.13,0.3,5.7,,,,,,,,,,4.1,,6.87,1.62,,,,,,,,,,,,,,,,,,,,,,,,,157652
[1007],OCEAN ISLAND,HEARD / HEARD / LAURENS PENINSULA SERIES / INDIAN OCEAN,,-53.12,-53.12,73.33,73.33,SUBAERIAL,,,s 69245 [1007],BASANITE [1007],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1007] ,225911.3355,25052.412,,78911.3241,,12309.44,69957,,59105.69,30212.304,1239.1328,,26149.725,31232.1797,4320.5679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,249,117,,,,74,,,,,,,,80,1013,48,581,107,,,,,,,,,,,,,651,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,0.512706,,,0.704859,,,,,,,,,,,,,,,,,,,,,15825
[1007],OCEAN ISLAND,HEARD / HEARD / LAURENS PENINSULA SERIES / INDIAN OCEAN,,-53.12,-53.12,73.33,73.33,SUBAERIAL,,,s 69244 [1007],BASANITE [1007],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1007] ,211140.3895,31765.02,,67320.7272,,14617.46,82782.45,,70326.48,43177.664,1394.0244,,19840.585,24555.4667,5193.4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,339,192,,,,117,,,,,,,,61,939,46,484,91,,,,,,,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,15826
[1007],OCEAN ISLAND,HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN,SOUTH FLANK OF BIG BEN,-53.12,-53.12,73.5,73.5,SUBAERIAL,,,s 69289 [1007],BASANITE [1007],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1007] ,201885.1765,29487.528,,45303.8856,,15876.38,89933.61,,71112.65,90275.088,1394.0244,,14361.595,15133.8828,2749.4523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,302,736,,,,493,,,,,,,,39,607,25,261,56,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0.512602,,,0.705313,,,,,,,,,,,,,,,,,,,,,15830
[6665],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / ATLANTIC OCEAN,ALONG CUMBRE VIEJA RIFT SYSTEM,28.6422,28.6422,-18.155,-18.155,SUBAERIAL,,,s LP124793.1 [6665],BASANITE [6665],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6665] ,217357.275,20857.032,,85738.662,,,,83637.48,65752.4,32081.728,1626.3618,,19342.495,37760.5213,3927.789,6800,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,267,71,,,,47,61,143,20,,,,,50,1389,37,383,102,,,,,,,,,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,3.32,,,,,,,,,,,,,,,,,,,,,,,,,158305
[6665],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / ATLANTIC OCEAN,ALONG CUMBRE VIEJA RIFT SYSTEM,28.6422,28.6422,-18.155,-18.155,SUBAERIAL,,,s LP43E [6665],BASANITE [6665],,,,,,,1646,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6665] ,203100.5075,22954.722,,70602.0834,,,,95607.9,88837.21,50534.752,1548.916,,13033.355,26706.852,3884.1469,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,2.4,,,,,,,,,,,,,,,,,,,,,,,,,158307
[1007],OCEAN ISLAND,HEARD / HEARD / BIG BEN SERIES / INDIAN OCEAN,SOUTH FLANK OF BIG BEN,-53.12,-53.12,73.5,73.5,SUBAERIAL,,,s 65001 [1007],BASANITE [1007],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1007] ,205718.1435,36080.268,,55042.104,,15386.8,86979.87,,83834.31,55600.288,1239.1328,,17848.225,16172.4826,3229.5154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,384,512,,,122,211,96,130,19,,,,,44,800,26,319,64,,,,,,,,,,,,,548,42.8,95.2,,52.8,11.1,3.64,9.32,,6.46,,2.52,,1.39,0.245,,,,,,,,,,,,,6,,0.51263,,,0.705335,,,,,,,,,,,,,,,,,,,,,15831
[1322],OCEAN ISLAND,AZORES / SANTA MARIA / ATLANTIC OCEAN,FIGUEIRAL,36.97,36.97,-25.12,-25.12,SUBAERIAL,,,s 1 [1322],"BASANITE, ANALCIME [1322]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1322] ,198800.1055,17740.464,,72242.7615,,39446.16,49980.39,,77330.54,48001.984,1858.6992,,11373.055,30935.4369,3578.6522,,19000,15600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15955
[6633],INTRAPLATE VOLCANICS,NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE,KARAMU QUARRY,-37.7,-38.3,174.7,175.5,SUBAERIAL,,,s P49 [6633],BASANITE [6633],,,,NEOGENE [6633],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6633] ,202866.79,13425.216,,63615.9702,,20212.66,74309.88,,76544.37,74897.568,1316.5786,,10210.845,16469.2254,2400.3155,,,,,,,,,,,,,,,,14200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,745,,,,310,91,109,18,,,,,23,669,22,190,44,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,159584
[6633],INTRAPLATE VOLCANICS,NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE,HAROTO BAY,-37.7,-38.3,174.7,175.5,SUBAERIAL,,,s 111 [6633],BASANITE [6633],,,,NEOGENE [6633],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6633] ,206793.244,12825.876,,66632.7009,,25388.22,65759.58,,72542.05,69530.512,1161.687,,10542.905,19214.0963,2138.4629,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,254,568,,,79,332,79,115,18,,,,,24,586,23,180,49,,,,,,,,,,,,1.1,310,29,63,,32,6.42,1.98,,0.85,,,,,1.47,0.23,4.2,2.6,,,,,,,,,3,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,159585
[6633],INTRAPLATE VOLCANICS,NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE,TE AKAU WHARF ROAD,-37.7,-38.3,174.7,175.5,SUBAERIAL,,,s 113B [6633],BASANITE [6633],,,,NEOGENE [6633],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6633] ,205998.6045,14803.698,,68538.0045,,14897.22,78274.11,,76615.84,68686.256,1471.4702,,9629.74,23887.7954,2574.8839,,,,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,246,409,,,77,312,79,118,20,,,,,20,660,25,197,50,,,,,,,,,,,,0.6,298,31.5,68,,,7.03,2.27,,0.91,,,,,1.83,0.25,4.4,2.8,,,,,,,,,0,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,159586
[6633],INTRAPLATE VOLCANICS,NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE,TURITEA ROAD QUARRY,-37.7,-38.3,174.7,175.5,SUBAERIAL,,,s T6A [6633],BASANITE [6633],,,,NEOGENE [6633],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6633] ,209691.341,11986.8,,66950.2515,,18883.8,63427.68,,85692.53,66093.184,1548.916,,8882.605,18843.1678,2182.105,,,,,,,,,,,,,,,,22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,696,,,,219,101,88,,,,,,34,571,23,148,33,,,,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,159588
[899],OCEAN ISLAND,CANARY ISLANDS / LANZAROTE / TAO / ATLANTIC OCEAN,MONTANA DEL CLERIGO DUARTE,29.1,29.1,-13.62,-13.62,SUBAERIAL,,,s 12913 [899],BASANITE [899],,,,,,,1824,,VOLCANIC ROCK,,,,,WHOLE_ROCK [899] ,207073.705,,,,,,,,,80204.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,1.92,,,,0.7032,,,,,,,,,,,,,,,,,,,,,16044
[899],OCEAN ISLAND,CANARY ISLANDS / LANZAROTE / TAO / ATLANTIC OCEAN,MONTANA NEGRA,29.02,29.02,-13.75,-13.75,SUBAERIAL,,,s 13537 [899],BASANITE [899],,,,,,,1824,,VOLCANIC ROCK,,,,,WHOLE_ROCK [899] ,205671.4,,,,,,,,,87440.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,1.54,,,,,,,,,,,,,,,,,,,,,,,,,16045
[899],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / PICO TEIDE / ATLANTIC OCEAN,LLANO DE LOS INFANTES,28.27,28.27,-16.52,-16.52,SUBAERIAL,,,s 70682 [899],BASANITE [899],,,,,,,1704,,VOLCANIC ROCK,,,,,WHOLE_ROCK [899] ,201931.92,,,,,,,,,49569.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,1.07,,,,0.70311,,,,,,,,,,,,,,,,,,,,,16050
[899],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / SAN JUAN / ATLANTIC OCEAN,,28.5,28.5,-18,-18,SUBAERIAL,,,s CLP45 [899],BASANITE [899],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [899] ,210813.185,,,,,,,,,51921.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,1.55,,,,,,,,,,,,,,,,,,,,,,,,,16056
[6032],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / HONSHU / NANZAKI / PACIFIC OCEAN,IZU PENINSULA,34.5,35.5,138.5,139.5,SUBAERIAL,,,s 1 [6032],BASANITE [6032],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6032] ,202492.842,9050.034,,78434.9982,,31473,48969.9,,91267.19,65248.928,1626.3618,,4897.885,20771.996,2400.3155,,9300,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,26.6,,,332,,,47.4,155,,86,,,,,,17.1,583,20.7,95,35.8,,,,,,,,,,,,0.97,229,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160789
[6032],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / HONSHU / NANZAKI / PACIFIC OCEAN,IZU PENINSULA,34.5,35.5,138.5,139.5,SUBAERIAL,,,s 2 [6032],BASANITE [6032],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6032] ,202165.6375,8750.364,,82616.0811,,36438.74,45860.7,,91624.54,65007.712,1548.916,,8135.47,16988.5253,2313.0313,,5600,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160790
[6032],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / HONSHU / NANZAKI / PACIFIC OCEAN,IZU PENINSULA,34.5,35.5,138.5,139.5,SUBAERIAL,,,s 3 [6032],BASANITE [6032],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6032] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,,,456,,,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,414,27,43,,,6.7,1.9,,0.82,,,,,1.9,0.35,2,,,,,,,,,,,,5.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,160791
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,HOTTENTOT GULCH,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s ALR5T [521],BASANITE [521],,,,,,,,SPARSELY PHYRIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,207026.9615,21096.768,,83198.2572,,,,92731.89,69683.25,36182.4,1471.4702,,22580.08,29600.0943,4015.0732,,,1600,,,,,,,,,,,,,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,264,48,,,42,40,49,98,,,,,,74,1305,28,307,78,,,,,,,,,,,,,769,63,146,,80,,,,,,,,,,,,,,,,,,,,,5.24,,,1.95,0.51251,,,0.70508,,18.467,,15.538,,38.929,,,,,,,,,,,,,,,1608-ALR5T
[521][174][183][173][1214],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,HOTTENTOT GULCH,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TR6 [521] / s TR-6 [174],"BASANITE, ANKARAMITIC [521] / BASALT [174]",,,,,,,,PORPHYRITIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,199828.4625,24213.336,,75365.3424,,,,108822,85978.41,40886.112,1394.0244,,16021.895,21365.4816,2487.5997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,397,104,,,68,45,35,100,,,,,,50,902,20,339,98.7,,,,,,,,3.7,0.475,,,,534,78.1,167,20,75.9,13.7,3.56,,,,,,,,,8.62,,,,,,,,,,,,,2.46,,,,0.70506,,18.566,,15.523,,39.031,,,,,,,,,,,,,,,1608-TR-6
[521][7510],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,"PLANTATION GULCH, MAIN CLIFFS",-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC58 [521],"BASANITE, ANKARAMITIC [521]",,,,,,,,PORPHYRITIC [521] ,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from OLIVINE [7510]",WHOLE_ROCK [521] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ,193237.629,25591.818,,72666.1623,,,,114185.37,84263.13,48846.24,1471.4702,,12286.22,20920.3674,2531.2418,,,3300,,,,,,,,,,,,,12300,,,,,1.66E-08,,,,,,,,,,,,,,,,,,,,,,26,,401,88,,,58,60,54,105,,,,,,42,879,26,245,56,,,,,,,,,,,,,473,41,101,,60,,,,,,,,,,,,,,,,,,,,,3.41,,,1.28,0.51255,,,0.70502,,18.533,,15.546,,39.046,,,,,,,,,5.01,,,,,,1609-TDC58
