Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / MEDVHIZYA (MEDVHEZIA) / PACIFIC OCEAN,,45.33,45.33,148.87,148.87,SUBAERIAL,,,s 4 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,349968.5845,3775.842,,67638.2778,,9791.6,5907.48,,16080.75,3557.936,774.458,,13033.355,33531.9364,349.1368,,4700,2000,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101324
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN,CALDERA,43.88,43.88,145.53,145.53,SUBAERIAL,,,s 6 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,331317.928,2637.096,,79281.7998,,3776.76,16012.38,,9576.98,7357.088,1006.7954,,9297.68,29080.7944,,,29000,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101326
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN,CALDERA,43.88,43.88,145.53,145.53,SUBAERIAL,,,s 7 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,332393.0285,3296.37,,72560.3121,,17485,15546,,25514.79,7236.48,1394.0244,,3403.615,31009.6226,741.9157,,5000,4000,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101327
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN,CALDERA,43.88,43.88,145.53,145.53,SUBAERIAL,,,s 8 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,343003.803,2037.756,,65521.2738,,12729.08,14302.32,,23656.57,10372.288,774.458,,3652.66,22107.3386,436.421,,14800,2200,,,,,,,,,,,,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101328
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / GOLOVNIN / PACIFIC OCEAN,CALDERA,43.88,43.88,145.53,145.53,SUBAERIAL,,,s 9 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,357634.5185,1318.548,,60546.3144,,12729.08,2409.63,,2501.45,16764.512,154.8916,,10293.86,14466.2115,,,17000,10400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101329
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / URUP / BERG / PACIFIC OCEAN,,46.12,46.12,150.18,150.18,SUBAERIAL,,,s 10 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,352025.2985,1798.02,,70019.9073,,9721.66,9871.71,,3001.74,10915.024,154.8916,,15108.73,24703.8381,130.9263,,2200,9100,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101330
[3052],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / PARAMUSHIR / EBEKO / PACIFIC OCEAN,,50.68,50.68,156,156,SUBAERIAL,,,s 12 [3052],RHYOLITE [3052],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3052] ,345621.439,1917.888,,67849.9782,,12449.32,7073.43,,14865.76,4522.8,232.3374,,22663.095,28413.1231,436.421,,,3600,,,,,,,,,,,,6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101332
[3291][2298][2299],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 786 / PACIFIC OCEAN,HOLE 786B,31.875,31.875,141.2267,141.2267,SUBAQUATIC,-3082.4,-3082.4,"s 125-786B-63R-2,72-74 [3291]",RHYOLITE [3291],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3291] ,348239.075,1018.878,,65838.8244,,,,13525.02,3216.15,0,77.4458,,41424.485,18694.7964,0,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,22,1,,,1,1,63,41,,,,,,44,44,11.7,85,1.3,,,,,,,,,,,,,486,4.83,7.41,0.81,4.65,1.87,0.49,1.77,0.31,1.93,0.33,1.01,0.2,1.24,0.15,2.43,0.07,,,,,,,,,2.43,,0.71,0.47,,,,0.706079,,,,,,,,,,,,,,,,,,,,,"10153-786B 63R-2, 72-74"
[3291][2298][2299],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 786 / PACIFIC OCEAN,HOLE 786B,31.875,31.875,141.2267,141.2267,SUBAQUATIC,-3082.4,-3082.4,"s 125-786B-66R-1,88-90 [3291]",RHYOLITE [3291],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3291] ,330289.571,1078.812,,72719.0874,,,,29148.75,16581.04,5065.536,619.5664,,26564.8,16914.3396,0,,,,,,,,,,,,,,,,24200,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,31,33,,,5.6,9,50,92,,,,,,29,96,10.7,81,0.98,,,,,,,,,,,,0.23,388,4.44,8.28,1.08,5.9,1.39,0.46,2.16,0.26,1.68,0.38,1.21,0.18,1.17,0.23,2.1,0.08,,,,,,,,,3.19,,0.67,0.37,0.512996,,,0.704673,,,,,,,,,,,,,,,,,,,,,"10153-786B 66R-1, 88-90"
[5803][2298][2299],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 786 / PACIFIC OCEAN,HOLE 786B,31.875,31.875,141.2267,141.2267,SUBAQUATIC,-3082.4,-3082.4,"s 125-786B-21R-1,129-131 [5803]",RHYOLITE [5803],46000000 [5803],46000000 [5803],,,,,,HIGHLY VESICULAR [2298] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5803] ,312714.015,1678.152,,66791.4762,,,,24407.22,16438.1,1869.424,542.1206,,17018.075,29600.0943,305.4947,,,,,,,,,,,,,,,,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,24,4,,,12,7,52,49,,,,,,34.2,134,11,83,1.34,,,,,,,,,,,,2.13,54,3.35,7.11,1.08,5.08,1.4,0.37,1.56,0.3,1.9,0.39,1.15,0.2,1.22,0.21,2.19,0.08,,,,,,,,,2.8,,0.72,0.44,0.512991,,,0.704318,,18.848,,15.505,,38.365,,,,,,,,0.283099,,,,,,,"10153-786B-21R-1, 129-131"
